AMF_inoculum,Bacterial_treatment,Replicate,Leaf_number,Height_cm,Shoot_biomass_g,Root_biomass_g,Total_biomass_g,Spore_density_ind_10g_soil,Mycelium_density_m_g_soil,Total_root_length_m,Root_diameter_mm,Frequency_of_mycorrhiza_%,Colonization_intensity_%,Arbuscule_abundance_%,Vesicle_abundance_%
CC6,NW,2,9,74,2.42,0.523,2.943,22,0.493,5.133,0.848,66.667,14.733,14.35,2.136
CC6,NW,3,12,104.2,4.943,0.969,5.912,51,0.888,14.102,0.719,76.667,21.133,20.277,2.297
CC6,NW,4,12,100.8,4.749,1.045,5.794,34,0.641,11.005,0.83,76.667,21.267,20.75,0.925
CC6,NW,5,12,113.7,5.328,0.826,6.154,35,0.617,11.427,0.779,80,37.1,36.95,7.884
CC6,NW,6,6,61.3,1.11,0.301,1.411,27,0.419,3.703,0.786,80,8.833,7.907,0.736
CC6,W,1,11,96.8,3.982,0.765,4.747,37,0.913,7.398,0.78,83.333,24.233,23.197,1.939
CC6,W,2,12,93.2,3.583,0.648,4.231,44,0.715,9.958,0.758,80,15.333,14.743,0.894
CC6,W,3,12,104.5,6.099,1.446,7.545,35,0.839,26.74,0.625,76.667,15.6,15.213,1.085
CC6,W,4,13,111.8,5.061,1.346,6.407,43,1.036,25.584,0.617,70,5.1,2.96,0.85
CC6,W,5,11,101.5,4.019,0.968,4.987,32,0.913,24.216,0.628,86.667,29.2,28.003,5.166
CC6,W,6,13,99.5,4.057,1.245,5.302,55,1.086,15.432,0.682,80,25.4,23.877,6.244
